排名,标题,评论数量,推荐率,出版社,作者,出版时间,价格,标题链接,
67,我不敢说，我怕被骂——邓超微博推荐的绘本 带给孩子更多勇气和自...,535247,100%,北京联合出版公司,文：〔荷兰〕皮姆?范?赫斯特  图：〔荷兰〕妮可?塔斯马,2019/11/1,¥39.80,http://product.dangdang.com/27942695.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '精装图画书', '>', '欧美', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '品格培养']"
68,沟通的方法（别怕，沟通是场无限游戏。得到CEO脱不花为你备好的沟...,107022,100%,新星出版社,脱不花 著，得到图书 出品,2021/6/11,¥49.00,http://product.dangdang.com/29251809.html,"['所属分类：', '图书', '>', '成功/励志', '>', '人际交往', '>', '沟通艺术']"
69,围城,1191090,99.80%,人民文学出版社,钱钟书　著,1991/2/1,¥23.00,http://product.dangdang.com/22819334.html,"['所属分类：', '图书', '>', '小说', '>', '情感小说', '>', '家庭/婚姻']"
70,大话西方艺术史（句句有梗的极简艺术史！艺术自媒体意外艺术，八...,43173,99.90%,海南出版社,意公子 著；读客文化 出品,2020/2/14,¥74.10,http://product.dangdang.com/28516328.html,"['所属分类：', '图书', '>', '艺术', '>', '世界各国艺术概况', '>', '艺术史/艺术思想史']"
71,学会管自己幼儿版-歪歪兔自控力教育系列绘本（全10册，幼儿园情绪...,210478,99.90%,海豚出版社,歪歪兔关键期早教项目组著绘,2017/6/1,¥86.20,http://product.dangdang.com/25083136.html,"['所属分类：', '图书', '>', '童书', '>', '幼儿启蒙', '>', '图画故事', '图书', '>', '童书', '>', '3-6岁', '>', '入学准备', '图书', '>', '童书', '>', '情绪管理']"
72,一间只属于自己的房间（李银河推荐的女性主义奠基作品；随书赠送...,17899,100%,天津人民出版社,弗吉尼亚·伍尔夫，果麦文化 出品,2019/10/1,¥45.00,http://product.dangdang.com/27949262.html,"['所属分类：', '图书', '>', '文学', '>', '外国随笔']"
73,霍乱时期的爱情（《百年孤独》作者马尔克斯传世巨著，展示爱情的...,825858,100%,南海出版公司,（哥伦比亚）加西亚 · 马尔克斯  著 ， 新经典  出品,2020/3/1,¥49.60,http://product.dangdang.com/28522850.html,"['所属分类：', '图书', '>', '小说', '>', '外国小说', '>', '其他国家']"
74,圆圈正义,53154,99.90%,中国法制出版社,罗翔,2019/8/7,¥30.00,http://product.dangdang.com/27925275.html,"['所属分类：', '图书', '>', '法律', '>', '法学文集/经典著作']"
75,橘子不是唯一的水果,208853,99.80%,北京联合出版有限公司,（英）珍妮特·温特森  著， 新经典  出品,2018/4/1,¥49.00,http://product.dangdang.com/25233927.html,"['所属分类：', '图书', '>', '小说', '>', '社会小说', '图书', '>', '小说', '>', '外国小说', '>', '其他国家']"
76,底层逻辑：看清这个世界的底牌,77526,99.90%,机械工业出版社,刘润,2021/10/1,¥41.40,http://product.dangdang.com/29306753.html,"['所属分类：', '图书', '>', '管理', '>', '一般管理学', '>', '管理学']"
77,暖萌科学绘本 和爸妈去旅行,102911,100%,北京联合出版有限公司,黄宇,2018/6/1,¥21.70,http://product.dangdang.com/25272807.html,"['所属分类：', '图书', '>', '童书', '>', '科普/百科', '>', '科普', '图书', '>', '童书', '>', '3-6岁', '>', '科普/百科', '图书', '>', '童书', '>', '科学认知']"
78,作家榜经典：月亮与六便士（全新未删节插图珍藏版！毛姆写给年轻...,1358217,100%,浙江文艺出版社,[英] 毛姆 著，作家榜经典 出品，徐淳刚（诗人） 译，大星文化，高更 绘,2017/1/10,¥39.80,http://product.dangdang.com/24175371.html,"['所属分类：', '图书', '>', '小说', '>', '世界名著', '>', '欧洲']"
79,望江南（你一句春不晚，我就到了真江南。茅奖得主王旭烽，沉潜26...,7359,99.90%,浙江文艺出版社,王旭烽,2022/3/1,¥59.20,http://product.dangdang.com/29367830.html,"['所属分类：', '图书', '>', '小说', '>', '中国当代小说']"
80,亲密关系：通往灵魂的桥梁（新版）：杨天真推荐，这本书告诉我们...,752253,99.90%,湖南文艺出版社,"（加）克里斯多福·孟 著,博集天卷 出品",2019/4/1,¥24.70,http://product.dangdang.com/26490676.html,"['所属分类：', '图书', '>', '成功/励志', '>', '心灵与修养', '>', '心灵/感悟']"
81,丰子恺万般滋味，都是生活,601069,100%,华中科技大学出版社,丰子恺,2018/9/1,¥36.60,http://product.dangdang.com/25308985.html,"['所属分类：', '图书', '>', '文学', '>', '中国现当代随笔']"
82,红岩,656534,99.90%,中国青年出版社,罗广斌，杨益言,2017/9/1,¥22.70,http://product.dangdang.com/25167661.html,"['所属分类：', '图书', '>', '小说', '>', '社会小说']"
83,男孩百科--优秀男孩的学习妙招,37720,100%,化学工业出版社,彭凡  编著,2017/1/1,¥16.70,http://product.dangdang.com/24059881.html,"['所属分类：', '图书', '>', '亲子/家教', '>', '培育男孩']"
84,信谊世界精选图画书-猜猜我有多爱你,124379,100%,明天出版社,[英] 山姆·麦克布雷尼 著，[英] 安妮塔·婕朗 绘，梅子涵 译,2020/9/1,¥25.80,http://product.dangdang.com/29132118.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '精装图画书', '>', '中国原创', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书']"
85,花婆婆——清华附小推荐的经典绘本！美国国家图书奖作品！,498975,99.50%,河北教育出版社,文/图：〔美〕芭芭拉库尼,2019/11/11,¥39.80,http://product.dangdang.com/28479620.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '精装图画书', '>', '欧美', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '品格培养']"
86,山茶文具店（陆定昊诚挚推荐，日本畅销作家小川糸备受好评暖心之...,176131,100%,湖南文艺出版社,"小川糸 著,博集天卷 出品",2018/3/31,¥48.80,http://product.dangdang.com/25238317.html,"['所属分类：', '图书', '>', '小说', '>', '社会小说', '图书', '>', '小说', '>', '中国当代小说']"
87,也许你该找个人聊聊（入选2021豆瓣受关注图书榜、新京报年度阅读...,61161,100%,上海文化出版社,[美]洛莉·戈特利布，译者 张含笑 ，果麦文化 出品,2021/6/1,¥68.00,http://product.dangdang.com/29262795.html,"['所属分类：', '图书', '>', '心理学', '>', '心灵疗愈']"
88,十二生肖的故事——首届丰子恺儿童图画书奖得主  赖马作品！,141489,100%,河北教育出版社,文/图：赖马,2020/3/28,¥45.80,http://product.dangdang.com/28519501.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '精装图画书', '>', '欧美', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '少儿国学']"
89,歪歪兔逆商教育系列图画书合集全20册（儿童情绪与行为引导培养，...,365290,99.70%,海豚出版社,歪歪兔关键期早教项目组,2021/8/1,¥156.80,http://product.dangdang.com/29277061.html,"['所属分类：', '图书', '>', '童书', '>', '幼儿启蒙', '>', '图画故事', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书']"
90,罪与罚（“俄罗斯文学天才”陀思妥耶夫斯基成名之作，人能从洁白...,38383,99.90%,台海出版社,(俄罗斯) 陀思妥耶夫斯基著，知书达礼 出品,2020/9/1,¥55.10,http://product.dangdang.com/29138984.html,"['所属分类：', '图书', '>', '小说', '>', '世界名著', '>', '欧洲']"
